testing time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
detected faults,9,15,19,24,28,29,32,36,36,40,41,41,45,47,49,52,52,55,57,58,61,61,64,66,67,69,70,73,74,75,75,78,79,80,82,83,83,84,84,85,85,87,87,87,89,89,91,91,94
corrected fauls,0,2,11,12,12,13,14,15,20,21,22,22,24,25,30,30,31,31,31,31,31,31,33,33,33,33,33,33,33,36,38,38,40,41,41,41,44,44,44,44,45,45,46,46,47,62,62,65,65
