testing time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
detected faults,12,23,43,64,84,97,109,111,112,114,116,123,126,128,132,141,144
corrected fauls,3,3,12,32,53,78,89,98,107,109,113,120,125,127,127,135,143
