testing time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
detected faults,20,40,56,70,85,95,103,109,120,127,131,139,146,148,156,160,165,170,173,176,177,179,183,184,186,188,188,192,193,194,194,194,195,195,196
corrected fauls,8,21,37,58,69,82,90,99,110,119,126,133,140,146,153,158,163,166,167,172,174,177,180,183,185,186,187,189,193,193,194,194,194,194,195
