testing time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
detected faults,66,73,76,81,83,87,88,92,94,94,94,99,102,104,105,105,106,106,107,108,108,109,112,113,113,115,115,116
corrected fauls,48,51,51,54,55,57,59,63,64,65,66,70,73,73,76,77,80,80,81,83,83,86,88,91,92,93,93,93
